aler	VERinf	aler
deduire	VERinf	deduire
plus	ADVgen	plus
bel	ADJqua	bel
que	CONsub	que
sus	PRE	sus
cele	DETdem	cil
riviere	NOMcom	riviere
.	PONfrt	.

D'	PRE	de
un	DETndf	un
tertre	NOMcom	tertre
qui	PROrel	que
pres	ADVgen	près
d'	PRE	de
ilec	ADVgen	illuec
iere	VERcjg	estre
descendoit	VERcjg	descendre
l'	DETdef	le
eve	NOMcom	aigue
grant	ADJqua	grant
et	CONcoo	et
roide	ADJqua	roit
;	PONfbl	;
clere	ADJqua	clair
estoit	VERcjg	estre
l'	DETdef	le
eve	NOMcom	aigue
,	PONfbl	,
et	CONcoo	et
ausi	ADVgen	aussi
froide	ADJqua	froit
come	CONsub	come
puis	NOMcom	puy
ou	CONcoo	o
come	CONsub	come
fontaine	NOMcom	fontaine
,	PONfbl	,
si	ADVgen	si
estoit	VERcjg	estre
poi	ADVgen	peu
maindre	ADJqua	moindre
de	PRE	de
Saine	NOMpro	Seine
,	PONfbl	,
mes	CONcoo	mais
ele	PROper	il
estoit	VERcjg	estre
plus	ADVgen	plus
espandue	VERppe	épandre
.	PONfrt	.

Onques	ADVgen	onque
mes	ADVgen	mais
n'	ADVneg	ne
avoie	VERcjg	avoir
veüe	VERppe	vëoir
cele	DETdem	cil
eve	NOMcom	aigue
qui	PROrel	que
si	ADVgen	si
bien	ADVgen	bien
seoit	VERcjg	sëoir
;	PONfbl	;
si	ADVgen	si
m'	PROper	je
abelissoit	VERcjg	abelir
et	CONcoo	et
seoit	VERcjg	sëoir
a	PRE	a
regarder	VERinf	regarder
le	DETdef	le
leu	NOMcom	lieu
pleisant	VERppa	plaire
.	PONfrt	.

De	PRE	de
l'	DETdef	le
eve	NOMcom	aigue
clere	ADJqua	clair
reluisant	VERppa	reluisir
mon	DETpos	mon
vis	NOMcom	vis
refreschi	VERcjg	refreschier
et	CONcoo	et
lavé	VERcjg	laver
,	PONfbl	,
si	ADVgen	si
vi	VERcjg	vëoir
tot	ADVgen	tot
covert	VERppe	covrir
et	CONcoo	et
pavé	VERppe	paver
le	DETdef	le
fonz	NOMcom	fonz
de	PRE	de
l'	DETdef	le
eve	NOMcom	aigue
de	PRE	de
graveile	NOMcom	gravaille
.	PONfrt	.

La	DETdef	le
praierie	NOMcom	prairie
grant	ADJqua	grant
et	CONcoo	et
bele	ADJqua	bel
tres	NOMcom	tref
qu'	PROrel	que
au	PRE.DETdef	a
pié	NOMcom	pié
de	PRE	de
l'	DETdef	le
eve	NOMcom	aigue
bastoit	VERcjg	baster
;	PONfbl	;
clere	ADJqua	clair
et	CONcoo	et
serie	ADJqua	seri
et	CONcoo	et
neite	ADJqua	noit
estoit	VERcjg	estre
la	DETdef	le
matinee	NOMcom	matinee
,	PONfbl	,
et	CONcoo	et
atempree	VERppe	atemprer
.	PONfrt	.

Lors	ADVgen	lors
m'	PROper	je
en	PROadv	en
alai	VERcjg	aler
par	PRE	par
mi	NOMcom	mi
la	DETdef	le
pree	NOMcom	pree
contreval	PRE	contreval
l'	DETdef	le
eve	NOMcom	aigue
esbanoiant	VERppa	esbanoiier
,	PONfbl	,
tot	DETind	tot
le	DETdef	le
rivage	NOMcom	rivage
costoiant	VERppa	costoiier
.	PONfrt	.

Quant	CONsub	quand
j'	PROper	je
oi	VERcjg	avoir
un	DETndf	un
poi	PROind	peu
avant	ADVgen	avant
alé	VERppe	aler
,	PONfbl	,
si	ADVgen	si
vi	VERcjg	vëoir
un	DETndf	un
vergier	NOMcom	vergier
grant	ADJqua	grant
et	CONcoo	et
lé	ADJqua	lé
,	PONfbl	,
tot	ADVgen	tot
clos	VERppe	clore
de	PRE	de
haut	ADJqua	haut
mur	NOMcom	mur
bataillié	VERppe	batailler
,	PONfbl	,
portret	VERppe	portraire
dehors	ADVgen	defors
et	CONcoo	et
entaillié	VERppe	entailler
a	PRE	a
maintes	DETind	maint
riches	ADJqua	riche
escritures	NOMcom	écriture
.	PONfrt	.

Les	DETdef	le
ymages	NOMcom	image
et	CONcoo	et
les	DETdef	le
pointures	NOMcom	peinture
dou	PRE.DETdef	de.le
mur	NOMcom	mur
volentiers	ADVgen	volentiers
remirai	VERcjg	remirer
;	PONfbl	;
si	ADVgen	si
vos	PROper	vos
conterai	VERcjg	conter
et	CONcoo	et
dirai	VERcjg	dire
de	PRE	de
ces	DETdem	ce
ymages	NOMcom	image
la	DETdef	le
semblance	NOMcom	semblance
,	PONfbl	,
si	ADVgen	si
com	CONsub	come
moi	PROper	je
vient	VERcjg	venir
a	PRE	a
remenbrance	NOMcom	remembrance
.	PONfrt	.

Enz	ADVgen	ens
en	PRE	en
le	DETdef	le
mileu	NOMcom	milieu
vi	VERcjg	vëoir
Haïne	NOMcom	häine
,	PONfbl	,
qui	PROrel	que
de	PRE	de
corroz	NOMcom	corroz
et	CONcoo	et
d'	PRE	de
ataïne	NOMcom	atäine
sembla	VERcjg	sembler
bien	ADVgen	bien
estre	VERinf	estre
meneresse	NOMcom	menerresse
;	PONfbl	;
corroceuse	ADJqua	corrocos
et	CONcoo	et
tançoneresse	ADJqua	tençoners
et	CONcoo	et
plaine	ADJqua	plein
de	PRE	de
grant	ADJqua	grant
cuvertage	NOMcom	couvertage
estoit	VERcjg	estre
par	PRE	par
semblant	VERppa	sembler
cele	DETdem	cil
ymage	NOMcom	image
;	PONfbl	;
si	ADVgen	si
n'	ADVneg	ne
estoit	VERcjg	estre
pas	ADVneg	pas
bien	ADVgen	bien
atornee	VERppe	atorner
,	PONfbl	,
ainz	ADVgen	ainz
sembloit	VERcjg	sembler
fame	NOMcom	feme
