Bien	ADVgen	bien
ai	VERcjg	avoir
au	PRE.DETdef	a
winage	NOMcom	vinage
a	PRE	a
Guise	NOMpro	Guise
,	PONfbl	,
a	PRE	a
rendre	VERinf	rendre
chascun	DETind	chascun
an	NOMcom	an
a	PRE	a
feste	NOMcom	fête
Saint	ADJqua	saint
Martin	NOMpro	Martin
en	PRE	en
iver	NOMcom	iver
;	PONfbl	;
et	CONcoo	et
ce	DETdem	ce
vendage	NOMcom	vendage
mes	DETpos	mon
tres	ADVgen	très
chiers	ADJqua	chier
sires	NOMcom	seignor
mes	DETpos	mon
freres	NOMcom	frère
Watiers	NOMpro	Watier
,	PONfbl	,
sires	NOMcom	seignor
d'	PRE	de
Avesnes	NOMpro	Avesnes
,	PONfbl	,
a	PRE	a
me	DETpos	mon
requeste	NOMcom	requête
et	CONcoo	et
a	PRE	a
le	DETdef	le
requeste	NOMcom	requête
de	PRE	de
mes	DETpos	mon
hoirs	NOMcom	hoir
Jehan	NOMpro	Jean
et	CONcoo	et
Bauduin	NOMpro	Baudouin
,	PONfbl	,
a	VERcjg	avoir
loet	VERppe	louer
et	CONcoo	et
otriet	VERppe	octroyer
si	ADVgen	si
cum	CONsub	comme
mes	DETpos	mon
sires	NOMcom	seignor
de	PRE	de
cui	PROrel	que
je	PROper	je
tieng	VERcjg	tenir
tout	DETind	tout
ce	PROdem	ce
que	PROrel	que
je	PROper	je
ai	VERcjg	avoir
au	PRE.DETdef	a
winage	NOMcom	vinage
devant	ADVgen	devant
dit	VERppe	dire
en	PRE	en
fié	NOMcom	fief
et	CONcoo	et
en	PRE	en
houmage	NOMcom	hommage
lige	ADJqua	lige
;	PONfbl	;
et	CONcoo	et
s'	CONsub	se
il	PROimp	il
avenoit	VERcjg	advenir
que	CONsub	que
li	DETdef	le
denier	NOMcom	denier
devant	ADVgen	devant
noumé	VERppe	nommer
ne	ADVneg	ne
fussent	VERcjg	estre
rendu	VERppe	rendre
a	PRE	a
l'	DETdef	le
eglise	NOMcom	église
devant	ADVgen	devant
dite	VERppe	dire
au	PRE.DETdef	a
terme	NOMcom	terme
qui	PROrel	que
deseur	ADVgen	dessure
est	VERcjg	estre
dis	VERppe	dire
,	PONfbl	,
mes	DETpos	mon
sires	NOMcom	seignor
mes	DETpos	mon
freres	NOMcom	frère
qui	PROrel	que
devant	ADVgen	devant
est	VERcjg	estre
noumés	VERppe	nommer
,	PONfbl	,
par	PRE	par
men	DETpos	mon
assens	NOMcom	assens
et	CONcoo	et
par	PRE	par
men	DETpos	mon
los	NOMcom	los
et	CONcoo	et
par	PRE	par
l'	DETdef	le
assens	NOMcom	assens
et	CONcoo	et
par	PRE	par
le	DETdef	le
los	NOMcom	los
de	PRE	de
mes	DETpos	mon
hoirs	NOMcom	hoir
qui	PROrel	que
devant	ADVgen	devant
sont	VERcjg	estre
dit	VERppe	dire
,	PONfbl	,
sans	PRE	sans
mesfaire	VERinf	méfaire
ne	CONcoo	ne
envers	PRE	envers
mi	PROper	moi
ne	CONcoo	ne
envers	PRE	envers
mes	DETpos	mon
hoirs	NOMcom	hoir
porroit	VERcjg	pöoir
saisir	VERinf	saisir
le	DETdef	le
fié	NOMcom	fief
en	PRE	en
se	DETpos	son
main	NOMcom	main
cunme	CONsub	comme
sires	NOMcom	seignor
et	CONcoo	et
tenir	VERinf	tenir
dusque	PRE	jusque
atant	ADVgen	atant
que	CONsub	que
li	DETdef	le
eglise	NOMcom	église
devant	ADVgen	devant
dite	VERppe	dire
seroit	VERcjg	estre
païe	VERppe	päir
entierement	ADVgen	entièrement
des	PRE.DETdef	de.le
trese	DETcar	treize
livres	NOMcom	livre
de	PRE	de
paresis	NOMcom	parisis
qui	PROrel	que
deseur	ADVgen	dessure
sont	VERcjg	estre
noumé	VERppe	nommer
.	PONfrt	.

Et	CONcoo	et
por	PRE	por
ce	PROdem	ce
que	CONsub	que
ce	PROdem	ce
soit	VERcjg	estre
ferme	ADJqua	ferme
chose	NOMcom	chose
et	CONcoo	et
estable	ADJqua	estable
,	PONfbl	,
je	PROper	je
ai	VERcjg	avoir
ces	DETdem	ce
letres	NOMcom	lettre
denees	VERppe	donner
a	PRE	a
men	DETpos	mon
seigneur	NOMcom	seigneur
men	DETpos	mon
frere	NOMcom	frère
seelees	VERppe	sceller
de	PRE	de
men	DETpos	mon
sael	NOMcom	sceau
.	PONfrt	.

Ce	PROdem	ce
fu	VERcjg	estre
fait	VERppe	faire
l'	DETdef	le
an	NOMcom	an
de	PRE	de
l'	DETdef	le
Incarnation	NOMcom	incarnation
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
mil	ADJcar	mille
et	CONcoo	et
.CC	ADJcar	cent
.	PONfrt	.

et	CONcoo	et
trente	PROcar	trente
set	PROcar	set
,	PONfbl	,
ou	PRE.DETdef	en.le
mois	NOMcom	mois
de	PRE	de
mars	NOMcom	marc
.	PONfrt	.

Jou	PROper	je
,	PONfbl	,
Watiers	NOMpro	Watier
,	PONfbl	,
cevaliers	NOMcom	chevalier
,	PONfbl	,
sires	NOMcom	seignor
del	PRE.DETdef	de
Caisnoit	NOMpro	Quesnoy
,	PONfbl	,
et	CONcoo	et
jou	PROper	je
,	PONfbl	,
Ewras	NOMpro	Evrart
,	PONfbl	,
castelains	NOMcom	châtelain
de	PRE	de
