MAISTRE	NOMcom	maistre
quartiers	NOMcom	quartier
de	PRE	de
brunette	NOMcom	brunette
ou	CONcoo	o
une	DETndf	un
aulne	NOMcom	aune
.	PONfrt	.

GUILLEMETTESe	VERppe	guillement
m'	PROper	je
aist	VERcjg	avoir
Dieu	NOMpro	Dieu
,	PONfbl	,
voire	ADVgen	voir
!	PONfrt	!

Alez	VERcjg	aler
,	PONfbl	,
n'	ADVneg	ne
ombliez	VERcjg	omblïer
pas	ADVneg	pas
a	PRE	a
boire	VERinf	boire
,	PONfbl	,
se	CONsub	se
vous	PROper	vous
trouvez	VERcjg	trouver
Martin	NOMpro	Martin
Garant	VERppa	garir
.	PONfrt	.

PATHELIN	NOMcom	patilin
Gardez	VERcjg	garder
tout	PROind	tout
.	PONfrt	.

GUILLEMETTEHé	VERcjg	guillemer
Dieu	NOMpro	Dieu
!	PONfrt	!

quel	DETint	quel
marchant	NOMcom	marchand
!	PONfrt	!

Pleust	VERcjg	plaire
or	ADVgen	or
a	PRE	a
Dieu	NOMpro	Dieu
qu'	CONsub	que
i	PROper	il
n'	ADVneg	ne
y	PROadv	y
vist	VERcjg	vëoir
goutte	NOMcom	goutte
!	PONfrt	!

PATHELIN	NOMcom	patilin
N'	ADVneg	ne
est	VERcjg	estre
ce	PROdem	ce
pas	ADVneg	pas
y	PROadv	y
la	ADVgen	là
?	PONfrt	?

J'	PROper	je
en	PROadv	en
fais	VERcjg	faire
doubte	NOMcom	doute
.	PONfrt	.

Et	CONcoo	et
si	ADVgen	si
est	VERcjg	estre
,	PONfbl	,
par	PRE	par
saincte	ADJqua	saint
Marie	NOMpro	Marie
:	PONfbl	:
il	PROper	il
se	PROper	soi
mesle	VERcjg	meslemesle
de	PRE	de
drapperie	NOMcom	drapire
.	PONfrt	.

Dieuil	NOMpro	Dieuil
soit	VERcjg	estre
!	PONfrt	!

GUILLAUME	NOMpro	Guillaume
JOCEAULME	NOMpro	Juchecle
,	PONfbl	,
DRAPPIEREt	VERcjg	droper
Dieu	NOMpro	Dieu
vous	PROper	vous
doint	VERcjg	doner
joye	NOMcom	joie
!	PONfrt	!

PATHELIN	NOMcom	patilin
Or	ADVgen	or
ainsi	ADVgen	ainsi
m'	PROper	je
aist	VERcjg	avoir
Dieu	NOMpro	Dieu
que	CONsub	que
j'	PROper	je
avoye	VERcjg	avoir
de	PRE	de
vous	PROper	vous
vëoir	VERinf	voir
grant	ADJqua	grant
voulenté	NOMcom	volonté
.	PONfrt	.

Comment	ADVint	comment
se	PROper	soi
pourte	VERcjg	pourter
la	DETdef	le
santé	NOMcom	santé
?	PONfrt	?

Estes	VERcjg	estre
vous	PROper	vous
sain	ADJqua	sain
et	CONcoo	et
dru	ADJqua	dru
,	PONfbl	,
Guillaume	NOMpro	Guillaume
?	PONfrt	?

LE	DETdef	le
DRAPPIER	NOMcom	drepier
Ouÿ	NOMpro	Oui
,	PONfbl	,
par	PRE	par
Dieu	NOMpro	Dieu
.	PONfrt	.

PATHELINSa	VERcjg	patilier
,	PONfbl	,
ceste	DETdem	cest
paulme	NOMcom	paume
!	PONfrt	!

Comment	ADVint	comment
vous	PROper	vous
va	VERcjg	aler
?	PONfrt	?

LE	PROper	il
DRAPPIEREt	VERcjg	droper
bien	ADVgen	bien
,	PONfbl	,
vrayement	ADVgen	vraiment
,	PONfbl	,
a	PRE	a
vostre	DETpos	vostre
bon	ADJqua	bon
commandement	NOMcom	commandement
.	PONfrt	.

Et	CONcoo	et
vous	PROper	vous
?	PONfrt	?

PATHELINPar	NOMpro	Paulianar
saint	ADJqua	saint
Pierre	NOMpro	Pierre
l'	DETdef	le
apostre	NOMcom	apostle
,	PONfbl	,
comme	CONsub	comme
celluy	PROdem	celui
qui	PROrel	que
est	VERcjg	estre
tout	ADVgen	tout
vostre	ADJpos	vostre
.	PONfrt	.

Ainsi	ADVgen	ainsi
vous	PROper	vous
esbatez	VERcjg	esbatre
?	PONfrt	?

LE	PROper	il
DRAPPIEREt	VERcjg	droper
voire	ADVgen	voir
.	PONfrt	.

Maïs	ADJqua	mäis
marchans	NOMcom	marchand
,	PONfbl	,
ce	PROdem	ce
devez	VERcjg	devoir
vous	PROper	vous
croire	VERinf	croire
,	PONfbl	,
ne	ADVneg	ne
font	VERcjg	faire
pas	ADVneg	pas
tousjours	ADVgen	toujours
a	PRE	a
leur	DETpos	leur
guise	NOMcom	guise
.	PONfrt	.

PATHELIN	NOMcom	patilin
Comment	ADVint	comment
se	PROper	soi
porte	VERcjg	porter
