Plaist	VERcjg	plaire
,	PONfbl	,
ne	ADVneg	ne
pot	VERcjg	pöoir
mirer	VERinf	mirer
la	DETdef	le
terre	NOMcom	terre
;	PONfbl	;
Vit	VERcjg	vëoir
la	DETdef	le
coverte	VERppe	covrir
de	PRE	de
broines	NOMcom	broine
e	CONcoo	et
de	PRE	de
helmes	NOMcom	heaume
,	PONfbl	,
E	CONcoo	et
de	PRE	de
Sarazins	NOMpro	Sarrasin
,	PONfbl	,
la	DETdef	le
pute	ADJqua	put
gent	NOMcom	gent
adverse	ADJqua	adverse
.	PONfrt	.

“	PONpga	“
Deus	NOMpro	Dieu
,	PONfbl	,
dist	VERcjg	dire
Tedbald	NOMpro	Thibaud
,	PONfbl	,
iço	PROdem	ce
que	PROrel	que
pot	VERcjg	pöoir
estre	VERinf	estre
?	PONfrt	?

”	PONpdr	”
“	PONpga	“
Seignurs	NOMcom	seigneur
,	PONfbl	,
frans	ADJqua	franc
homes	NOMcom	homme
,	PONfbl	,
merci	NOMcom	merci
,	PONfbl	,
pur	PRE	pour
amur	NOMcom	amour
Dé	NOMpro	dieu
!	PONfrt	!

Dis	DETcar	dix
et	CONcoo	et
uit	DETcar	huit
anz	NOMcom	an
ad	VERcjg	avoir
ja	ADVgen	ja
,	PONfbl	,
e	CONcoo	et
si	ADVgen	si
sunt	VERcjg	être
tuz	ADVgen	tout
passez	VERppe	passer
,	PONfbl	,
Que	CONsub	que
primes	ADVgen	prim
oi	VERcjg	avoir
a	PRE	a
bailler	VERinf	bailler
ceste	DETdem	cest
cunté	NOMcom	comté
;	PONfbl	;
Unc	ADVgen	onques
puis	ADVgen	puis
ne	ADVneg	ne
vi	VERcjg	vëoir
tanz	DETind	tant
chevalers	NOMcom	chevalier
armez	VERppe	armer
Que	CONsub	que
ne	ADVneg	ne
seussent	VERcjg	savoir
quele	DETrel	quel
part	NOMcom	part
turner	VERinf	tourner
.	PONfrt	.

Assaldrez	VERcjg	assaillir
vus	PROper	vous
ne	CONcoo	ne
chastel	NOMcom	chastel
ne	CONcoo	ne
cité	NOMcom	cité
,	PONfbl	,
Dolent	ADJqua	dolent
poent	VERcjg	pouvoir
estre	VERinf	estre
que	PROrel	que
